12:12:00 system           | rule-engine started (pid=24242)
12:15:05 gpt3-adapter     | [2022-11-10 12:15:05.842] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agents-input>: b'{"id": "cmpl-6B0kT1blQeWbjuIdinD9riIWNsEuR", "timestamp": "2022-11-10T12:15:05.842348Z", "signalType": "REPLY", "from": "gpt3_adapter", "messageType": "GPT3Completion", "to": "yYlKULq0", "returnAddress": "public/default/workspace-ms-ivo-app-gpt3-adapter-input", "replyTo": {"id": "NGx49Cp3", "timestamp": "2022-11-10T12:15:04.919307Z", "signalType": "MESSAGE", "from": "yYlKULq0", "messageType": "Complete", "to": "gpt3_adapter", "returnAddress": "public/default/workspace-ms-ivo-app-agents-input", "maxTokens": 64, "frequencyPenalty": 0.0, "prompt": "You are an all-knowing rock talking to an old man. Answer the old man\'s questions in a deep and profound way.\\nOld man: Nice answear\\n\\nRock: Thanks!\\n\\nOld man: How old was Napoleon when he died?\\n\\nRock: Napoleon died at the age of 51.\\n\\nOld man: Where did he died?\\n\\nRock: Napoleon died in exile on the island of St. Helena.\\n\\nOld man: Why is he famous\\nRock:", "echo": false, "temperature": 0.91, "stop": ["Rock:", "Old man:"], "presencePenalty": 0.6, "model": "text-davinci-001", "n": 1, "suffix": null, "logprobs": null, "bestOf": 1, "logitBias": null, "topP": 1.0}, "choices": [{"text": " Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.", "index": 0, "logprobs": null, "finish_reason": "stop"}], "model": "text-davinci-001", "object": "text_completion", "created": 1668082505, "usage": {"prompt_tokens": 103, "completion_tokens": 40, "total_tokens": 143}}'
12:15:05 rule-engine      | [2022-11-10 12:15:05.861] [DEBUG]: Received message: '{"id": "cmpl-6B0kT1blQeWbjuIdinD9riIWNsEuR", "timestamp": "2022-11-10T12:15:05.842348Z", "signalType": "REPLY", "from": "gpt3_adapter", "messageType": "GPT3Completion", "to": "yYlKULq0", "returnAddress": "public/default/workspace-ms-ivo-app-gpt3-adapter-input", "replyTo": {"id": "NGx49Cp3", "timestamp": "2022-11-10T12:15:04.919307Z", "signalType": "MESSAGE", "from": "yYlKULq0", "messageType": "Complete", "to": "gpt3_adapter", "returnAddress": "public/default/workspace-ms-ivo-app-agents-input", "maxTokens": 64, "frequencyPenalty": 0.0, "prompt": "You are an all-knowing rock talking to an old man. Answer the old man's questions in a deep and profound way.\nOld man: Nice answear\n\nRock: Thanks!\n\nOld man: How old was Napoleon when he died?\n\nRock: Napoleon died at the age of 51.\n\nOld man: Where did he died?\n\nRock: Napoleon died in exile on the island of St. Helena.\n\nOld man: Why is he famous\nRock:", "echo": false, "temperature": 0.91, "stop": ["Rock:", "Old man:"], "presencePenalty": 0.6, "model": "text-davinci-001", "n": 1, "suffix": null, "logprobs": null, "bestOf": 1, "logitBias": null, "topP": 1.0}, "choices": [{"text": " Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.", "index": 0, "logprobs": null, "finish_reason": "stop"}], "model": "text-davinci-001", "object": "text_completion", "created": 1668082505, "usage": {"prompt_tokens": 103, "completion_tokens": 40, "total_tokens": 143}}
12:15:05 rule-engine      | [2022-11-10 12:15:05.874] [DEBUG]: Evaluating agent yYlKULq0
12:15:05 rule-engine      | [2022-11-10 12:15:05.880] [DEBUG]: Adding facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:05 rule-engine      | [2022-11-10 12:15:05.881] [DEBUG]: Adding signals: [(GPT3Completion(choices=[CompletionChoice(text= Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French., index=0, logprobs=null, finish_reason=stop)], model=text-davinci-001),signals)]
12:15:05 rule-engine      | [2022-11-10 12:15:05.884] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-telegram-adapter-input>: {"id":"nkpZZ1Xl","timestamp":"2022-11-10T12:15:05.883919Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"SendMessage","to":"telegram_adapter","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","chatId":"5733149430","text":"Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.","keyboardData":null,"mediaList":null}
12:15:05 rule-engine      | [2022-11-10 12:15:05.884] [DEBUG]: Rule fired: Send GPT3 response
12:15:05 rule-engine      | [2022-11-10 12:15:05.888] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"mPoxUDxl","timestamp":"2022-11-10T12:15:05.886908Z","signalType":"EVENT","from":"yYlKULq0","eventType":"Evaluation","agentId":"yYlKULq0","evaluatedAt":"2022-11-10T12:15:05.887903Z"}
12:15:05 rule-engine      | [2022-11-10 12:15:05.889] [DEBUG]: Updating facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:05 telegram-adapter | [2022-11-10 12:15:05.894] [DEBUG]: Received message: b'{"id":"nkpZZ1Xl","timestamp":"2022-11-10T12:15:05.883919Z","signalType":"MESSAGE","from":"yYlKULq0","messageType":"SendMessage","to":"telegram_adapter","returnAddress":"public/default/workspace-ms-ivo-app-agents-input","chatId":"5733149430","text":"Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.","keyboardData":null,"mediaList":null}'
12:15:05 telegram-adapter | [2022-11-10 12:15:05.896] [INFO]: Send message with text "Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French." to 5733149430
12:15:05 rule-engine      | [2022-11-10 12:15:05.895] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"rYLVibrS","timestamp":"2022-11-10T12:15:05.894701Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\n","Old man: How old was Napoleon when he died?\n","Rock: Napoleon died at the age of 51.\n","Old man: Where did he died?\n","Rock: Napoleon died in exile on the island of St. Helena.\n","Old man: Why is he famous\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}
12:15:05 heartbeat        | [2022-11-10 12:15:05.901] [DEBUG]: Received message: b'{"id":"rYLVibrS","timestamp":"2022-11-10T12:15:05.894701Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\\n","Old man: How old was Napoleon when he died?\\n","Rock: Napoleon died at the age of 51.\\n","Old man: Where did he died?\\n","Rock: Napoleon died in exile on the island of St. Helena.\\n","Old man: Why is he famous\\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}'
12:15:05 telegram-adapter | [2022-11-10 12:15:05.943] [DEBUG]: Successfully sent Telegram Message.
12:15:05 telegram-adapter | [2022-11-10 12:15:05.951] [DEBUG]: Saved SentMessage 210
12:15:05 telegram-adapter | [2022-11-10 12:15:05.953] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-telegram-sent-message-event>: b'{"id": "r9AOmX6b", "timestamp": "2022-11-10T12:15:05.953067Z", "signalType": "EVENT", "from": "telegram_adapter", "eventType": "TelegramSentMessage", "messageId": "210", "chatId": "5733149430", "sentAt": "2022-11-10T12:15:05.000000Z", "text": "Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.", "mediaList": null, "keyboardData": null, "multipleAnswer": null, "expireAt": null, "messageReanswerable": false}'
12:15:05 telegram-adapter | [2022-11-10 12:15:05.955] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agents-input>: b'{"id": "lpwv7JIW", "timestamp": "2022-11-10T12:15:05.954990Z", "signalType": "REPLY", "from": "telegram_adapter", "messageType": "TelegramResult", "to": "yYlKULq0", "returnAddress": "public/default/workspace-ms-ivo-app-telegram-adapter-input", "replyTo": {"id": "nkpZZ1Xl", "timestamp": "2022-11-10T12:15:05.883919Z", "signalType": "MESSAGE", "from": "yYlKULq0", "messageType": "SendMessage", "to": "telegram_adapter", "returnAddress": "public/default/workspace-ms-ivo-app-agents-input", "mediaList": null, "keyboardData": null, "chatId": "5733149430", "text": "Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French."}, "success": true, "message": {"id": "r9AOmX6b", "timestamp": "2022-11-10T12:15:05.953067Z", "signalType": "EVENT", "from": "telegram_adapter", "eventType": "TelegramSentMessage", "messageId": "210", "chatId": "5733149430", "sentAt": "2022-11-10T12:15:05.000000Z", "text": "Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.", "mediaList": null, "keyboardData": null, "multipleAnswer": null, "expireAt": null, "messageReanswerable": false}}'
12:15:05 rule-engine      | [2022-11-10 12:15:05.972] [DEBUG]: Received message: '{"id": "lpwv7JIW", "timestamp": "2022-11-10T12:15:05.954990Z", "signalType": "REPLY", "from": "telegram_adapter", "messageType": "TelegramResult", "to": "yYlKULq0", "returnAddress": "public/default/workspace-ms-ivo-app-telegram-adapter-input", "replyTo": {"id": "nkpZZ1Xl", "timestamp": "2022-11-10T12:15:05.883919Z", "signalType": "MESSAGE", "from": "yYlKULq0", "messageType": "SendMessage", "to": "telegram_adapter", "returnAddress": "public/default/workspace-ms-ivo-app-agents-input", "mediaList": null, "keyboardData": null, "chatId": "5733149430", "text": "Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French."}, "success": true, "message": {"id": "r9AOmX6b", "timestamp": "2022-11-10T12:15:05.953067Z", "signalType": "EVENT", "from": "telegram_adapter", "eventType": "TelegramSentMessage", "messageId": "210", "chatId": "5733149430", "sentAt": "2022-11-10T12:15:05.000000Z", "text": "Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.", "mediaList": null, "keyboardData": null, "multipleAnswer": null, "expireAt": null, "messageReanswerable": false}}
12:15:05 rule-engine      | [2022-11-10 12:15:05.979] [DEBUG]: Evaluating agent yYlKULq0
12:15:05 rule-engine      | [2022-11-10 12:15:05.984] [DEBUG]: Adding facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:05 rule-engine      | [2022-11-10 12:15:05.984] [DEBUG]: Adding signals: [(TelegramResult(success=true, message=TelegramSentMessage(messageId=210, chatId=5733149430, sentAt=2022-11-10T12:15:05, text=Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French., mediaList=null, keyboardData=null, multipleAnswer=null, expireAt=null, messageReanswerable=false)),signals)]
12:15:05 rule-engine      | [2022-11-10 12:15:05.988] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"WtxFgzef","timestamp":"2022-11-10T12:15:05.987550Z","signalType":"EVENT","from":"yYlKULq0","eventType":"Evaluation","agentId":"yYlKULq0","evaluatedAt":"2022-11-10T12:15:05.988456Z"}
12:15:05 rule-engine      | [2022-11-10 12:15:05.989] [DEBUG]: Updating facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:05 rule-engine      | [2022-11-10 12:15:05.995] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"RZkvaBxV","timestamp":"2022-11-10T12:15:05.995119Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\n","Old man: How old was Napoleon when he died?\n","Rock: Napoleon died at the age of 51.\n","Old man: Where did he died?\n","Rock: Napoleon died in exile on the island of St. Helena.\n","Old man: Why is he famous\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}
12:15:06 heartbeat        | [2022-11-10 12:15:06.007] [DEBUG]: Received message: b'{"id":"RZkvaBxV","timestamp":"2022-11-10T12:15:05.995119Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\\n","Old man: How old was Napoleon when he died?\\n","Rock: Napoleon died at the age of 51.\\n","Old man: Where did he died?\\n","Rock: Napoleon died in exile on the island of St. Helena.\\n","Old man: Why is he famous\\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}'
12:15:09 heartbeat        | [2022-11-10 12:15:09.518] [DEBUG]: Sending a heartbeat for agents: ['SMITH']
12:15:09 heartbeat        | [2022-11-10 12:15:09.520] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-heartbeat-event>: b'{"id": "90CSTKOA", "timestamp": "2022-11-10T12:15:09.519875Z", "signalType": "EVENT", "from": "heartbeat", "eventType": "Heartbeat", "agentId": "SMITH"}'
12:15:09 heartbeat        | [2022-11-10 12:15:09.521] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-rule-engine-input>: b'{"id": "8Xy9TUNm", "timestamp": "2022-11-10T12:15:09.521457Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "SMITH"}'
12:15:09 rule-engine      | [2022-11-10 12:15:09.538] [DEBUG]: Received message: '{"id": "8Xy9TUNm", "timestamp": "2022-11-10T12:15:09.521457Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "SMITH"}
12:15:09 rule-engine      | [2022-11-10 12:15:09.540] [DEBUG]: Evaluating agent SMITH
12:15:09 rule-engine      | [2022-11-10 12:15:09.544] [DEBUG]: Adding facts: [Smith(super=Agent(id=SMITH, connections={}, type=Smith))]
12:15:09 rule-engine      | [2022-11-10 12:15:09.544] [DEBUG]: Adding signals: []
12:15:09 rule-engine      | [2022-11-10 12:15:09.548] [INFO]: Smith's heartbeat - num agents: 2
12:15:09 rule-engine      | [2022-11-10 12:15:09.549] [DEBUG]: Rule fired: Smith's Heartbeat
12:15:09 rule-engine      | [2022-11-10 12:15:09.554] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"2ABuX7iF","timestamp":"2022-11-10T12:15:09.550368Z","signalType":"EVENT","from":"SMITH","eventType":"Evaluation","agentId":"SMITH","evaluatedAt":"2022-11-10T12:15:09.551238Z"}
12:15:09 rule-engine      | [2022-11-10 12:15:09.554] [DEBUG]: Updating facts: [Smith(super=Agent(id=SMITH, connections={}, type=Smith))]
12:15:09 rule-engine      | [2022-11-10 12:15:09.560] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"jx4p5Z6x","timestamp":"2022-11-10T12:15:09.560363Z","signalType":"DATA_CHANGE","from":"SMITH","changeType":"UPDATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}
12:15:09 heartbeat        | [2022-11-10 12:15:09.566] [DEBUG]: Received message: b'{"id":"jx4p5Z6x","timestamp":"2022-11-10T12:15:09.560363Z","signalType":"DATA_CHANGE","from":"SMITH","changeType":"UPDATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}'
12:15:15 heartbeat        | [2022-11-10 12:15:15.523] [DEBUG]: Sending a heartbeat for agents: ['yYlKULq0']
12:15:15 heartbeat        | [2022-11-10 12:15:15.524] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-heartbeat-event>: b'{"id": "VBLmSpxV", "timestamp": "2022-11-10T12:15:15.524613Z", "signalType": "EVENT", "from": "heartbeat", "eventType": "Heartbeat", "agentId": "yYlKULq0"}'
12:15:15 heartbeat        | [2022-11-10 12:15:15.527] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-rule-engine-input>: b'{"id": "tQcdHx3K", "timestamp": "2022-11-10T12:15:15.526825Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "yYlKULq0"}'
12:15:15 rule-engine      | [2022-11-10 12:15:15.543] [DEBUG]: Received message: '{"id": "tQcdHx3K", "timestamp": "2022-11-10T12:15:15.526825Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "yYlKULq0"}
12:15:15 rule-engine      | [2022-11-10 12:15:15.545] [DEBUG]: Evaluating agent yYlKULq0
12:15:15 rule-engine      | [2022-11-10 12:15:15.572] [DEBUG]: Adding facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:15 rule-engine      | [2022-11-10 12:15:15.572] [DEBUG]: Adding signals: []
12:15:15 rule-engine      | [2022-11-10 12:15:15.576] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"nE1C71mC","timestamp":"2022-11-10T12:15:15.575173Z","signalType":"EVENT","from":"yYlKULq0","eventType":"Evaluation","agentId":"yYlKULq0","evaluatedAt":"2022-11-10T12:15:15.575887Z"}
12:15:15 rule-engine      | [2022-11-10 12:15:15.576] [DEBUG]: Updating facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:15 rule-engine      | [2022-11-10 12:15:15.581] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"HvNSACcf","timestamp":"2022-11-10T12:15:15.580672Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\n","Old man: How old was Napoleon when he died?\n","Rock: Napoleon died at the age of 51.\n","Old man: Where did he died?\n","Rock: Napoleon died in exile on the island of St. Helena.\n","Old man: Why is he famous\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}
12:15:15 heartbeat        | [2022-11-10 12:15:15.587] [DEBUG]: Received message: b'{"id":"HvNSACcf","timestamp":"2022-11-10T12:15:15.580672Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\\n","Old man: How old was Napoleon when he died?\\n","Rock: Napoleon died at the age of 51.\\n","Old man: Where did he died?\\n","Rock: Napoleon died in exile on the island of St. Helena.\\n","Old man: Why is he famous\\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}'
12:15:39 heartbeat        | [2022-11-10 12:15:39.546] [DEBUG]: Sending a heartbeat for agents: ['SMITH']
12:15:39 heartbeat        | [2022-11-10 12:15:39.548] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-heartbeat-event>: b'{"id": "vCMi7fvM", "timestamp": "2022-11-10T12:15:39.548427Z", "signalType": "EVENT", "from": "heartbeat", "eventType": "Heartbeat", "agentId": "SMITH"}'
12:15:39 heartbeat        | [2022-11-10 12:15:39.550] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-rule-engine-input>: b'{"id": "VjeabfEe", "timestamp": "2022-11-10T12:15:39.550125Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "SMITH"}'
12:15:39 rule-engine      | [2022-11-10 12:15:39.568] [DEBUG]: Received message: '{"id": "VjeabfEe", "timestamp": "2022-11-10T12:15:39.550125Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "SMITH"}
12:15:39 rule-engine      | [2022-11-10 12:15:39.573] [DEBUG]: Evaluating agent SMITH
12:15:39 rule-engine      | [2022-11-10 12:15:39.606] [DEBUG]: Adding facts: [Smith(super=Agent(id=SMITH, connections={}, type=Smith))]
12:15:39 rule-engine      | [2022-11-10 12:15:39.607] [DEBUG]: Adding signals: []
12:15:39 rule-engine      | [2022-11-10 12:15:39.612] [INFO]: Smith's heartbeat - num agents: 2
12:15:39 rule-engine      | [2022-11-10 12:15:39.614] [DEBUG]: Rule fired: Smith's Heartbeat
12:15:39 rule-engine      | [2022-11-10 12:15:39.620] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"avbjyuDj","timestamp":"2022-11-10T12:15:39.619626Z","signalType":"EVENT","from":"SMITH","eventType":"Evaluation","agentId":"SMITH","evaluatedAt":"2022-11-10T12:15:39.620640Z"}
12:15:39 rule-engine      | [2022-11-10 12:15:39.623] [DEBUG]: Updating facts: [Smith(super=Agent(id=SMITH, connections={}, type=Smith))]
12:15:39 rule-engine      | [2022-11-10 12:15:39.632] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"ofuGJJCV","timestamp":"2022-11-10T12:15:39.631837Z","signalType":"DATA_CHANGE","from":"SMITH","changeType":"UPDATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}
12:15:39 heartbeat        | [2022-11-10 12:15:39.640] [DEBUG]: Received message: b'{"id":"ofuGJJCV","timestamp":"2022-11-10T12:15:39.631837Z","signalType":"DATA_CHANGE","from":"SMITH","changeType":"UPDATED","objectType":"agent","object":{"id":"SMITH","connections":{},"type":"Smith"}}'
12:15:45 heartbeat        | [2022-11-10 12:15:45.549] [DEBUG]: Sending a heartbeat for agents: ['yYlKULq0']
12:15:45 heartbeat        | [2022-11-10 12:15:45.550] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-heartbeat-event>: b'{"id": "etnMptlt", "timestamp": "2022-11-10T12:15:45.550507Z", "signalType": "EVENT", "from": "heartbeat", "eventType": "Heartbeat", "agentId": "yYlKULq0"}'
12:15:45 heartbeat        | [2022-11-10 12:15:45.552] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-rule-engine-input>: b'{"id": "Kob3Yo4L", "timestamp": "2022-11-10T12:15:45.551961Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "yYlKULq0"}'
12:15:45 rule-engine      | [2022-11-10 12:15:45.568] [DEBUG]: Received message: '{"id": "Kob3Yo4L", "timestamp": "2022-11-10T12:15:45.551961Z", "signalType": "MESSAGE", "from": "heartbeat", "messageType": "EVALUATE", "to": "rule_engine", "returnAddress": "public/default/workspace-ms-ivo-app-heartbeat-input", "agentId": "yYlKULq0"}
12:15:45 rule-engine      | [2022-11-10 12:15:45.570] [DEBUG]: Evaluating agent yYlKULq0
12:15:45 rule-engine      | [2022-11-10 12:15:45.601] [DEBUG]: Adding facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:45 rule-engine      | [2022-11-10 12:15:45.601] [DEBUG]: Adding signals: []
12:15:45 rule-engine      | [2022-11-10 12:15:45.605] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-evaluation-event>: {"id":"yBk4qGiC","timestamp":"2022-11-10T12:15:45.604562Z","signalType":"EVENT","from":"yYlKULq0","eventType":"Evaluation","agentId":"yYlKULq0","evaluatedAt":"2022-11-10T12:15:45.605337Z"}
12:15:45 rule-engine      | [2022-11-10 12:15:45.606] [DEBUG]: Updating facts: [Agent(id=yYlKULq0, connections={telegram=5733149430}, type=Nola)]
12:15:45 rule-engine      | [2022-11-10 12:15:45.611] [DEBUG]: Sending message to topic <public/default/workspace-ms-ivo-app-agent-data_change>: {"id":"dpZxzf9Y","timestamp":"2022-11-10T12:15:45.611531Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\n","Old man: How old was Napoleon when he died?\n","Rock: Napoleon died at the age of 51.\n","Old man: Where did he died?\n","Rock: Napoleon died in exile on the island of St. Helena.\n","Old man: Why is he famous\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}
12:15:45 heartbeat        | [2022-11-10 12:15:45.618] [DEBUG]: Received message: b'{"id":"dpZxzf9Y","timestamp":"2022-11-10T12:15:45.611531Z","signalType":"DATA_CHANGE","from":"yYlKULq0","changeType":"UPDATED","objectType":"agent","object":{"id":"yYlKULq0","connections":{"telegram":"5733149430"},"type":"Nola","memory":["Rock: Thanks!\\n","Old man: How old was Napoleon when he died?\\n","Rock: Napoleon died at the age of 51.\\n","Old man: Where did he died?\\n","Rock: Napoleon died in exile on the island of St. Helena.\\n","Old man: Why is he famous\\n","Rock: Napoleon was one of the most famous and influential military leaders in history. He was responsible for many key victories during the French Revolution and Napoleonic Wars, and he eventually became Emperor of the French.\\n"],"lastInteractionTime":"2022-11-10T12:15:04.918124Z","pinged":false,"personality":"wiseRock","max_MEMORY":6}}'
12:15:48 telegram-adapter | [2022-11-10 12:15:48.093] [DEBUG]: Received update from Telegram: {'message': {'delete_chat_photo': False, 'date': 1668082548, 'chat': {'id': 5733149430, 'type': 'private', 'first_name': 'Farafrfljo'}, 'caption_entities': [], 'supergroup_chat_created': False, 'photo': [], 'new_chat_members': [], 'channel_chat_created': False, 'text': 'he lead revolution and then was emperor that doesnt make sense', 'new_chat_photo': [], 'group_chat_created': False, 'message_id': 211, 'entities': [], 'from': {'language_code': 'hr', 'first_name': 'Farafrfljo', 'id': 5733149430, 'is_bot': False}}, 'update_id': 862158539}
12:15:48 telegram-adapter | [2022-11-10 12:15:48.093] [DEBUG]: New message from 5733149430
12:15:48 telegram-adapter | [2022-11-10 12:15:48.094] [DEBUG]: Inserting Telegram Message in DB.
